,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Month,Year,Total.People
73222,20130118X53100,Accident,DCA13LA039,2013-01-17,"Miami, FL",United States,254725N,0801630W,MIA,Miami Intl,Non-Fatal,Minor,Airplane,LV-BMT,AIRBUS,A340 - 300,No,4.0,Turbo Fan,129,SCHD,Commercial,Aerolineas Argentinas S.A.,0.0,0.0,0.0,397.0,VMC,,"LV-BMT flight crew's incorrect evaluation of the clearance between the two aircraft, leading to the inadvertent collision of the left winglet with the horizontal stabilizer and elevator of F-GNZI. Contributing to the accident were the incorrect instructions given by the Miami Gates controller to the LV-BMT flight crew.",25-09-2020,1.0,2013.0,397.0
73224,20130422X74044,Accident,CEN13WA235,2013-01-17,"Tuxtla Gutierrez, Mexico",Mexico,,,,,Fatal,Substantial,Airplane,XB-EZY,PIPER,PA-31-325,No,2.0,,UNK,,Commercial,,7.0,0.0,0.0,0.0,,,,03-11-2020,1.0,2013.0,7.0
73226,20130125X11450,Accident,WPR13LA102,2013-01-18,"Redmond, OR",United States,441514N,0121854W,RDM,ROBERTS FIELD,Non-Fatal,Substantial,Airplane,N6290V,CESSNA,172RG,No,1.0,Reciprocating,091,,Commercial,,0.0,0.0,0.0,2.0,VMC,,Failure of the left main landing gear pivot assembly during the landing approach.,,1.0,2013.0,2.0
73228,20130125X45542,Accident,WPR13CA103,2013-01-18,"Porterville, CA",United States,036128N,0119328W,,,Non-Fatal,Substantial,Airplane,N50690,CESSNA,150J,No,1.0,Reciprocating,091,,Commercial,Del-Air,0.0,0.0,0.0,1.0,VMC,,"The pilot's improper fuel management, which resulted in a loss of engine power due to fuel exhaustion.",25-09-2020,1.0,2013.0,1.0
73234,20130122X15418,Accident,WPR13LA098,2013-01-20,"Marysville, CA",United States,039552N,1213411W,MYV,Yuba County Airport,Non-Fatal,Substantial,Airplane,N5208F,CESSNA,172F,No,1.0,Reciprocating,091,,Commercial,Beale Aero Club,0.0,2.0,0.0,0.0,VMC,,"A total loss of engine power during initial climb due to fuel starvation, which resulted from maintenance personnels improper installation of the fuel selector handle. Contributing to the accident was an incorrectly modified fuel selector handle assembly. ",25-09-2020,1.0,2013.0,2.0
73240,20130123X73100,Accident,ERA13LA117,2013-01-23,"Danbury, CT",United States,412317N,0732547W,DXR,Danbury,Non-Fatal,Substantial,Airplane,N140PG,CIRRUS DESIGN CORP,SR20,No,1.0,Reciprocating,091,,Commercial,Epic Blue Co.,0.0,0.0,0.0,3.0,VMC,,"The flight instructors inadequate preflight inspection in which he incorrectly estimated the airplanes fuel quantity and his improper reliance on the fuel totalizer rather than the fuel quantity indicating and warning systems to determine the fuel on board, which resulted in a total loss of engine power due to fuel exhaustion. ",25-09-2020,1.0,2013.0,3.0
73242,20130124X12107,Accident,WPR13LA101,2013-01-24,"Matlock, WA",United States,472426N,1234120W,SHN,Sanderson Field Airport,Non-Fatal,Substantial,Airplane,N18690,CESSNA,150L,No,1.0,Reciprocating,091,,Commercial,Andrew Hansen,0.0,0.0,0.0,1.0,VMC,,A partial loss of engine power after a descent to a lower altitude due to the student pilot's delayed action in applying carburetor heat while operating in conditions conducive to carburetor icing.,25-09-2020,1.0,2013.0,1.0
73243,20130124X42013,Accident,CEN13CA142,2013-01-24,"Peoria, IL",United States,403951N,0894136W,PIA,Peoria International Airport,Non-Fatal,Substantial,Airplane,N5113J,CESSNA,172S,No,1.0,Reciprocating,091,,Commercial,UNIVERSITY OF DUBUQUE,0.0,0.0,0.0,2.0,VMC,,"The pilots inadvertent activation of the electric trim to the nose-down position, which resulted in the airplane being improperly configured for takeoff, and the flight instructors incorrect remedial action that allowed the airplane to porpoise.",25-09-2020,1.0,2013.0,2.0
73245,20130128X11324,Accident,DCA13CA043,2013-01-25,"Denver, CO",United States,395124N,1043937W,KDEN,Denver International,Non-Fatal,Substantial,Airplane,N618FE,MCDONNELL DOUGLAS,MD11,No,,Turbo Fan,121,NSCH,Commercial,FEDERAL EXPRESS CORP,0.0,0.0,0.0,3.0,VMC,,"the flight crews failure to perform a takeoff performance data briefing following the final entries into the Flight Management System, which would have alerted them to the incorrect weight entry and resulting incorrect landing speeds. Contributing to the accident was the failure of the flight crew to recognize and respond to various visual cues indicating the airplane's airspeed was too slow, resulting in a higher than normal pitch during landing and the tail of the airplane striking the runway.",25-09-2020,1.0,2013.0,3.0
73251,20130129X14545,Accident,WPR13LA106,2013-01-27,"Atwater, CA",United States,372230N,0120344W,MER,Castle Airport,Non-Fatal,Substantial,Airplane,N68757,CESSNA,152,No,1.0,Reciprocating,091,,Commercial,KS AVIATION INC,0.0,0.0,0.0,1.0,VMC,,"The student pilot's inadequate flight planning, which resulted in his getting lost and not being able to return to the airport before the fuel was exhausted and the engine lost power.",25-09-2020,1.0,2013.0,1.0
73258,20130207X33247,Accident,DCA13WA050,2013-01-29,"Almaty, Kazakhstan",Kazakhstan,,,,,Fatal,Destroyed,Airplane,UP-CJ006,BOMBARDIER,CL600 2B19,No,,,UNK,SCHD,Commercial,SCAT Airlines,21.0,0.0,0.0,0.0,,,<br /><br />,03-11-2020,1.0,2013.0,21.0
73259,20130320X45113,Accident,WPR13WA156,2013-01-29,"Halim, Indonesia, Indonesia",Indonesia,,,,,Non-Fatal,Substantial,Airplane,PK-JBH,HAWKER,900XP,No,,,NUSN,,Commercial,Jhonlin Air Transport,0.0,0.0,0.0,2.0,,,,03-11-2020,1.0,2013.0,2.0
73261,20130213X25527,Incident,ENG13WA014,2013-01-30,"Copenhagen, Denmark",Denmark,,,,,,,Airplane,SE-DIK,MCDONNELL DOUGLAS,MD-82,No,2.0,,129,SCHD,Commercial,,0.0,0.0,0.0,0.0,,,,03-11-2020,1.0,2013.0,0.0
73262,20130204X62839,Accident,CEN13LA152,2013-01-31,"Victoria, TX",United States,284513N,0096593W,,,Non-Fatal,Substantial,Airplane,N9190B,AIR TRACTOR INC,AT-401,No,1.0,Reciprocating,137,,Commercial,"MORGENROTH, DARDON L",0.0,0.0,0.0,1.0,VMC,,"The mechanical failure of the engine power section, which resulted in a loss of engine power.",25-09-2020,1.0,2013.0,1.0
73265,20130204X05610,Accident,CEN13LA149,2013-02-01,"College Station, TX",United States,303323N,0963422W,CLL,Easterwood Field Airport,Non-Fatal,Substantial,Airplane,N247RB,CIRRUS DESIGN CORPORATION,SR22,No,1.0,Reciprocating,091,,Commercial,Cirrus Aircraft Corporation,0.0,1.0,0.0,2.0,VMC,,"The flight instructors and commercial pilots failure to see and avoid the other airplane, which resulted in a collision during cruise flight. Contributing to the accident was the failure of the flight instructor of the other airplane to activate the transponder before departure, which resulted in no traffic advisories being issued before the collision.",25-09-2020,2.0,2013.0,3.0
73266,20130204X31356,Accident,CEN13CA151,2013-02-01,"Murphysboro, IL",United States,374641N,0089157W,MDH,Southern Illinois Airport,Non-Fatal,Substantial,Airplane,N546A,CESSNA,172,No,1.0,Reciprocating,091,,Commercial,Southern Illinois University,0.0,0.0,0.0,1.0,VMC,,The pilots failure to maintain control of the airplane during the takeoff roll.,25-09-2020,2.0,2013.0,1.0
73274,20130203X00707,Accident,WPR13LA111,2013-02-03,"Boise, ID",United States,433352N,1161322W,BOI,Boise Air Terminal,Non-Fatal,Substantial,Airplane,N8465L,CESSNA,T210L,No,1.0,Reciprocating,091,,Commercial,MAR-TECH ENGINEERING LLC,0.0,2.0,0.0,0.0,IMC,,"The pilot's failure to maintain a proper glidepath and stabilized approach, which resulted in the airplane touching down short of the runway.",25-09-2020,2.0,2013.0,2.0
73276,20130213X92000,Incident,DCA13WA054,2013-02-03,"Seoul, South Korea",South Korea,,,,Gimpo,Non-Fatal,Minor,Airplane,HL7780,BOEING,737,No,2.0,,NUSC,SCHD,Commercial,Jeju Air,0.0,0.0,0.0,193.0,,,,25-09-2020,2.0,2013.0,193.0
73278,20130206X33419,Accident,ANC13LA021,2013-02-05,"Kalskag, AK",United States,613211N,1602029W,PALG,Kalskag,Non-Fatal,Substantial,Airplane,N5290J,CESSNA,172N,No,1.0,Reciprocating,091,,Commercial,,0.0,2.0,1.0,0.0,IMC,,"The pilots decision to take off into deteriorating weather conditions, which resulted in a loss of visual reference and the subsequent controlled flight into terrain. Contributing to the severity of the rear seat passengers injuries was the incorrect installation of the rear seat belts.",25-09-2020,2.0,2013.0,3.0
73280,20130206X71903,Accident,WPR13FA115,2013-02-06,"Casa Grande, AZ",United States,325721N,1114558W,CGZ,Casa Grande Municipal Airport,Fatal,Destroyed,Airplane,N555FV,BEECH,E90,No,2.0,Turbo Prop,091,,Commercial,"Sauo Aero Services, LLC",2.0,0.0,0.0,0.0,VMC,,"The pilots loss of control of the airplane after pitching it excessively nose up during a go-around, which resulted in a subsequent aerodynamic stall/spin.",25-09-2020,2.0,2013.0,2.0
73288,20130220X10626,Accident,CEN13LA168,2013-02-07,"Forrest City, AR",United States,345647N,0904628W,,,Non-Fatal,Substantial,Airplane,N198LA,AIR TRACTOR INC,AT-502,No,1.0,Turbo Prop,091,,Commercial,SOUTH DELTA AVIATION INC,0.0,1.0,0.0,0.0,VMC,,The in-flight separation of the left aileron's push-pull rod and hardware. Contributing to the accident was the failure of maintenance personnel to apply proper torque to the self-locking nuts.,25-09-2020,2.0,2013.0,1.0
73289,20130220X32821,Incident,DCA13IA058,2013-02-07,"Bowman, GA",United States,341524N,0825857W,,,Non-Fatal,Minor,Airplane,N261PS,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,121,SCHD,Commercial,"PSA Airlines, Inc.",0.0,1.0,0.0,39.0,Unk,,"the captain's inappropriate climb speed, his failure to monitor airspeed during the level off, and his inappropriate response to multiple stall warnings.",25-09-2020,2.0,2013.0,40.0
73293,20130215X42406,Accident,ERA13WA135,2013-02-08,"La Matanza, Argentina",Argentina,344619S,0584615W,,,Fatal,Substantial,Airplane,LV-GEU,CESSNA,172,No,1.0,,NUSN,,Commercial,Centro Universitario de Aviacion,4.0,0.0,0.0,0.0,,,,03-11-2020,2.0,2013.0,4.0
73303,20130306X54440,Accident,ERA13WA157,2013-02-12,"Mersin, Turkey",Turkey,364823N,0343713E,,,Fatal,Substantial,Airplane,TC-CDA,CESSNA,172S,No,1.0,Reciprocating,UNK,,Commercial,Turkish Aviation Association,1.0,0.0,1.0,0.0,,,,03-11-2020,2.0,2013.0,2.0
73311,20130326X01857,Accident,CEN13CA206,2013-02-13,"Sabinal, TX",United States,291231N,0993133W,,,Non-Fatal,Substantial,Airplane,N7824G,CESSNA,T206H,No,1.0,Reciprocating,091,NSCH,Commercial,,0.0,0.0,0.0,1.0,VMC,,"The pilots failure to properly identify the airstrip, which resulted in him landing the airplane off of the airstrip in soft soil causing the nose over.",25-09-2020,2.0,2013.0,1.0
73313,20130214X61121,Accident,CEN13CA162,2013-02-14,"Abilene, TX",United States,323031N,0993626W,,,Non-Fatal,Substantial,Airplane,N7466D,BEECH,A60,No,2.0,Reciprocating,091,,Commercial,FRANK LEROY BELL,0.0,0.0,0.0,1.0,VMC,,"The pilots improper fuel management, which resulted in a loss of engine power due to fuel exhaustion.",25-09-2020,2.0,2013.0,1.0
73317,20130313X15117,Accident,ERA13WA165,2013-02-14,"Quevedo, Spain",Spain,001570S,0079230W,,Perez Brothers Airport,Fatal,Substantial,Airplane,HC-BJM,PIPER,PA-36-300,No,,,NUSN,,Commercial,CIA FAPSA,1.0,0.0,0.0,0.0,,,,03-11-2020,2.0,2013.0,1.0
73318,20130216X54725,Accident,CEN13LA163,2013-02-15,"Jennings, LA",United States,301118N,0923756W,,,Fatal,Substantial,Airplane,N4305D,PZL MIELEC,M-18A,No,1.0,Turbo Prop,137,,Commercial,RICELAND AVIATION INC,1.0,0.0,0.0,0.0,VMC,,"The pilots inadequate visual lookout, which resulted in a collision with guy wires during an aerial application flight.",25-09-2020,2.0,2013.0,1.0
73319,20130218X70747,Accident,ERA13LA138,2013-02-15,"Fort Gaines, GA",United States,312917N,0085035W,79GA,Coates Airport,Non-Fatal,Substantial,Airplane,N3095X,AYRES CORPORATION,S2R-T34,No,1.0,Turbo Prop,137,,Commercial,COATES FLYING SERVICE INC,0.0,0.0,0.0,1.0,VMC,,The total loss of engine power due to fuel starvation as a result of debris in the fuel control unit.,25-09-2020,2.0,2013.0,1.0
73320,20130220X10728,Accident,CEN13CA169,2013-02-15,"Murphysboro, IL",United States,374641N,0089157W,MDH,Southern Illinois Airport,Non-Fatal,Substantial,Airplane,N95670,CESSNA,152,No,1.0,Reciprocating,091,,Commercial,SOUTHERN ILLINOIS UNIVERSITY BOARD OF TRUSTEES DBA,0.0,0.0,0.0,1.0,VMC,,An inadvertent encounter with birds while on the downwind leg in the traffic pattern.,25-09-2020,2.0,2013.0,1.0
73321,20130216X24215,Accident,ANC13CA023,2013-02-16,"Dutch Harbor, AK",United States,535334N,1663225W,PADU,Unalaska,Non-Fatal,Substantial,Airplane,N15PR,PIPER,PA-31-350,No,2.0,Reciprocating,135,SCHD,Commercial,GRANT AVIATION INC,0.0,0.0,0.0,3.0,VMC,,"The pilot's decision to land in wind conditions that exceeded the airplane's demonstrated crosswind capability, which resulted in a loss of airplane control during the landing roll.",25-09-2020,2.0,2013.0,3.0
73336,20130227X35753,Accident,ERA13CA146,2013-02-18,"Valparaiso, FL",United States,302859N,0863134W,VPS,Eglin Air Force Base,Non-Fatal,Substantial,Airplane,N98598,CESSNA,172P,No,1.0,Reciprocating,091,,Commercial,Eglin AFB Aero Club,0.0,0.0,0.0,4.0,VMC,,The pilots failure to maintain control of the airplane while landing in gusting wind conditions.,25-09-2020,2.0,2013.0,4.0
73337,20130220X51849,Accident,WPR13LA131,2013-02-19,"Pacific Ocean, UN",UN,201341N,1391211W,SFO,San Francisco International Ai,Non-Fatal,,Airplane,N174UA,BOEING,747-422,No,4.0,Turbo Fan,121,SCHD,Commercial,United Airlines,0.0,0.0,1.0,220.0,VMC,,"The flights encounter with moderate clear air turbulence while en route, which resulted in a serious injury to a flight attendant. Contributing to the accident was the lack of communication equipment in the rest compartment, which, if installed, could have alerted the cabin crewmembers that the seatbelt sign was on. ",25-09-2020,2.0,2013.0,221.0
73338,20130220X30047,Accident,WPR13CA130,2013-02-19,"Kelso, WA",United States,004674N,1225354W,KLS,Southwest Washington Regional,Non-Fatal,Substantial,Airplane,N89956,CESSNA,152,No,1.0,Reciprocating,091,,Commercial,HILLSBORO AVIATION INC,0.0,0.0,0.0,1.0,VMC,,"The student pilot's inadequate landing flare and lack of remedial actions, which resulted in a hard bounced landing.",25-09-2020,2.0,2013.0,1.0
73339,20130220X85257,Accident,DCA13CA056,2013-02-19,"Cincinnati, OH",United States,039255N,0084404W,KCVG,Cincinnati-Northern Kentucky,Non-Fatal,,Airplane,N283SK,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,121,SCHD,Commercial,CHAUTAUQUA AIRLINES INC,0.0,0.0,1.0,53.0,VMC,,an inadvertent fall out of the open service door because the safety strap was not attached.,25-09-2020,2.0,2013.0,54.0
73341,20130220X11432,Accident,ERA13MA139,2013-02-21,"Thomson, GA",United States,333146N,0822959W,HQU,Thomson-McDuffie Regional,Fatal,Destroyed,Airplane,N777VG,BEECH,390,No,2.0,Turbo Fan,091,,Commercial,Richard Z. Trammell,5.0,0.0,2.0,0.0,VMC,,"The pilot's failure to follow airplane flight manual procedures for an antiskid failure in flight and his failure to immediately retract the lift dump after he elected to attempt a go-around on the runway. Contributing to the accident were the pilot's lack of systems knowledge and his fatigue due to acute sleep loss and his ineffective use of time between flights to obtain sleep.  

Member Sumwalt filed a concurring statement that can be found in the public docket for this accident. Member Weener joined the statement.",25-09-2020,2.0,2013.0,7.0
73342,20130220X23353,Accident,CEN13FA172,2013-02-21,"Parkers Parairie, MN",United States,461418N,0095156W,,,Fatal,Substantial,Airplane,N9229Y,MAULE,MXT-7-180,No,1.0,Reciprocating,091,,Commercial,,1.0,0.0,0.0,0.0,VMC,,"The pilots failure to transfer fuel from the auxiliary fuel tanks to the main fuel tanks in a timely manner, which resulted in fuel starvation to the engine. ",25-09-2020,2.0,2013.0,1.0
73344,20130227X02738,Incident,CEN13IA177,2013-02-21,"Indianapolis, IN",United States,394951N,0861740W,EYE,Eagle Creek,Non-Fatal,Minor,Airplane,N613TX,TTX AIR LLC,Lancair,Yes,1.0,Turbo Prop,091,,Commercial,"TTX Air, LLC",0.0,0.0,0.0,2.0,VMC,,The pilots' failure to verify landing gear extension before landing.,25-09-2020,2.0,2013.0,2.0
73351,20130227X40543,Accident,ERA13CA147,2013-02-24,"Tunica, MS",United States,034416N,0902052W,UTA,Tunica Municipal,Non-Fatal,,Airplane,N164HQ,EMBRAER,ERJ 190-100 IGW,No,2.0,Turbo Fan,091,,Commercial,Republic Airlines,0.0,0.0,1.0,3.0,VMC,,The cabin attendant's failure to follow published guidance and checklists before and during landing.,25-09-2020,2.0,2013.0,4.0
73352,20130228X11317,Accident,CEN13WA180,2013-02-24,"Cozumel, Mexico",Mexico,,,,,Non-Fatal,Substantial,Airplane,N44418,PIPER,PA-28-140,No,1.0,Reciprocating,091,,Commercial,LAZANO ADVENTURES LLC,0.0,4.0,0.0,0.0,,,,03-11-2020,2.0,2013.0,4.0
73354,20130312X72446,Accident,ERA13CA163,2013-02-24,"Greenbrier, AL",United States,344015N,0865035W,,,Non-Fatal,Substantial,Airplane,N7310N,AIR TRACTOR INC,AT-301,No,1.0,Reciprocating,137,,Commercial,Lannie Towe,0.0,0.0,0.0,1.0,VMC,,The pilots failure to maintain adequate clearance from trees.,25-09-2020,2.0,2013.0,1.0
73356,20130227X80547,Incident,ENG13IA016,2013-02-25,"Dallas, TX",United States,032547N,0097231W,,,Non-Fatal,Minor,Airplane,B18701,BOEING,747,No,4.0,Turbo Fan,129,SCHD,Commercial,China Airlines,0.0,0.0,0.0,3.0,Unk,,"Fuel leaking from a fractured fuel manifold feeder line that ignited on contact with the engines hot compressor rear frame, which resulted in an engine undercowl fire. The fuel manifold feeder line failed due to high amplitude fatigue because the fuel manifold resonance frequencies were within the engine operation range. Contributing to the incident was that the engine was overhauled about the same time as the most current fuel manifold configuration that addressed the high amplitude fatigue failure mode was introduced, thus it was not installed on the engine.",14-06-2021,2.0,2013.0,3.0
73357,20130404X73428,Incident,DCA13WA070,2013-02-25,"Brisbane, Australia",Australia,,,,Brisbane,,,Airplane,VH-VYE,BOEING,737,No,,,NUSC,SCHD,Commercial,Virgin Australia,0.0,0.0,0.0,0.0,,,,25-09-2020,2.0,2013.0,0.0
73359,20130228X52911,Incident,DCA13WA060,2013-02-26,"Keflavik, Iceland",Iceland,,,,,Non-Fatal,,Airplane,TF-FIJ,BOEING,757,No,,,NUSC,SCHD,Commercial,ICELANDAIR EHF,0.0,0.0,0.0,171.0,,,,03-11-2020,2.0,2013.0,171.0
73365,20130301X25545,Accident,CEN13FA182,2013-03-01,"Broomfield, CO",United States,395518N,0010586W,KBJC,Rocky Mountain Metropolitan,Non-Fatal,Substantial,Airplane,N93AA,AERO COMMANDER,500B,No,2.0,Reciprocating,091,,Commercial,American East Airways Corporation,0.0,2.0,0.0,0.0,VMC,,"Loss of engine power due to fuel exhaustion. Contributing to the accident was the failure of the fuel gauge to indicate the actual amount of fuel on board the airplane and the design of the airplane's fuel system, which precluded a visual confirmation of the fuel level.",25-09-2020,3.0,2013.0,2.0
73366,20130627X31242,Incident,DCA13WA113,2013-03-01,"London, United Kingdom",United Kingdom,,,,London Gatwick,,,Airplane,G-CELS,BOEING,737-300,No,,,,,Commercial,,0.0,0.0,0.0,0.0,,,<br /><br />,03-11-2020,3.0,2013.0,0.0
73367,20130302X71811,Accident,ERA13LA151,2013-03-02,"Naples, ME",United States,044114N,0703832W,,,Non-Fatal,Substantial,Airplane,N3438J,CESSNA,150,No,1.0,Reciprocating,091,,Commercial,Anthony J Longley,0.0,0.0,0.0,1.0,VMC,,The student pilots improper decision to land on a frozen lake.,25-09-2020,3.0,2013.0,1.0
73376,20130304X04608,Accident,CEN13WA184,2013-03-04,"Cranves-Sales, France",France,,,LFLI,Aérodrome d'Annemasse,Fatal,Destroyed,Airplane,VP-CAZ,HAWKER BEECHCRAFT,390,No,1.0,Turbo Fan,NUSN,,Commercial,Global Jet Luxembourg,2.0,0.0,1.0,0.0,VMC,,,03-11-2020,3.0,2013.0,3.0
73378,20130305X51423,Accident,ERA13CA154,2013-03-04,"Bardstown, KY",United States,374831N,0852935W,BRY,Bardstown,Non-Fatal,Substantial,Airplane,N89847,CESSNA,172P,No,1.0,Reciprocating,091,,Commercial,Eastern Kentucky University,0.0,0.0,0.0,1.0,VMC,,"The student pilots improper flare during a crosswind landing, which resulted in a hard landing.",25-09-2020,3.0,2013.0,1.0
