,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Month,Year,Total.People
73199,20130109X80816,Accident,WPR13CA088,2013-01-08,"Rialto, CA",United States,034745N,0117245W,L67,Rialto Municipal Airport,Non-Fatal,Substantial,Airplane,N1254E,AERONCA,7AC,No,1.0,Reciprocating,091,,Personal,Thomas Singer,0.0,1.0,0.0,0.0,VMC,,The pilot's failure to maintain airplane control while taxiing in gusting wind conditions.,25-09-2020,1.0,2013.0,1.0
73200,20130109X90734,Accident,WPR13CA089,2013-01-08,"Georgetown, CA",United States,385515N,1205153W,E36,Georgetown Airport,Non-Fatal,Substantial,Airplane,N70AC,STRIBLING JAMES L,RV4,Yes,1.0,Reciprocating,091,,Personal,Mark Hornsby,0.0,1.0,0.0,0.0,VMC,,The pilots improper landing flare and failure to maintain directional control during landing.,25-09-2020,1.0,2013.0,1.0
73202,20130114X71442,Accident,CEN13CA134,2013-01-10,"Moriarty, NM",United States,345856N,0106018W,,,Non-Fatal,Substantial,Airplane,N6242U,MOONEY,M20C,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,"The pilots improper fuel management, which resulted in a loss of engine power during cruise flight due to fuel starvation.",25-09-2020,1.0,2013.0,1.0
73205,20130114X64547,Accident,ERA13LA112,2013-01-11,"Brandon, FL",United States,275616N,0082164W,TPF,PETER O KNIGHT,Non-Fatal,Substantial,Airplane,N9454H,CESSNA,T182,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,"
Failure of the No. 2 cylinders rod bearing, which resulted in a total loss of engine power.
",25-09-2020,1.0,2013.0,2.0
73206,20130116X30226,Accident,WPR13CA092,2013-01-11,"Lake Pleasant, AZ",United States,335526N,0112144W,KP48,Peoria,Non-Fatal,Substantial,Airplane,N571K,HEINZ,Rans S-4 Coyote,Yes,1.0,Reciprocating,091,,Personal,Eric P. Heinz,0.0,0.0,0.0,1.0,VMC,,A partial loss of engine power during cruise flight for reasons that could not be determined because the airplane was not recovered.,25-09-2020,1.0,2013.0,1.0
73209,20130112X64931,Accident,ERA13FA109,2013-01-12,"Sarasota, FL",United States,272310N,0823343W,SRQ,Sarasota/Bradenton Intl,Fatal,Destroyed,Airplane,N829GS,BENTON FRED D,SEAWIND 3000,Yes,1.0,Reciprocating,091,,Personal,John W. Ardoyno,2.0,0.0,0.0,0.0,VMC,,The pilot's inability to establish a normal climb rate after takeoff for reasons that could not be determined because postaccident examination did not reveal any anomalies that would have precluded normal operation.,25-09-2020,1.0,2013.0,2.0
73211,20130114X54150,Accident,CEN13CA133,2013-01-12,"Ankeny, IA",United States,414128N,0933359W,KIKV,Ankeny Regional Airport,Non-Fatal,Substantial,Airplane,N897GA,AMERICAN GENERAL ACFT CORP,AG5B,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,The pilots failure to maintain a proper glide path to the runway in gusty wind conditions and his failure to maintain clearance from obstructions during the subsequent go-around.  Contributing to the accident was the pilot's improper interior lighting configuration.,25-09-2020,1.0,2013.0,1.0
73212,20130114X21545,Accident,ERA13LA113,2013-01-13,"Manteo, NC",United States,035544N,0075425W,MQI,Dare County Regional Airport,Fatal,Destroyed,Airplane,N6537C,PIPER,PA-34-200T,No,2.0,Reciprocating,091,,Personal,Greg Carlisle,1.0,1.0,0.0,0.0,IMC,,"The pilot's attempted visual flight in instrument meteorological conditions while maneuvering at a low altitude in the traffic pattern, which resulted in spatial disorientation and impact with the water. Contributing was the pilot's lack of experience flying in actual instrument meteorological conditions.",25-09-2020,1.0,2013.0,2.0
73214,20130114X61927,Accident,ERA13LA111,2013-01-13,"Dover, DE",United States,391021N,0752925W,DOV,Dover Air Force Base,Fatal,Substantial,Airplane,N4975S,PIPER,PA-28R-200,No,1.0,Reciprocating,091,,Personal,TUREN CLIFFORD H,1.0,0.0,0.0,0.0,IMC,,"The pilot's failure to land the airplane at multiple airports that were equipped with adequate instrument approach procedures while operating in low instrument meteorological conditions and his delay in declaring a fuel-related emergency, which resulted in a loss of engine power due to fuel exhaustion.",25-09-2020,1.0,2013.0,1.0
73215,20130116X65647,Accident,CEN13CA136,2013-01-15,"Upper Sandusky, OH",United States,040530N,0831852W,K56D,Wyandot County Airport,Non-Fatal,Substantial,Airplane,N7ZR,AVIAT,A-1C-180,No,1.0,Reciprocating,091,,Personal,Samuel A. Ballow,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain directional control while landing in gusty crosswind conditions.,25-09-2020,1.0,2013.0,1.0
73217,20130127X54833,Accident,WPR13CA104,2013-01-15,"Torrance, CA",United States,334812N,1182022W,KTOA,Zamperini Field,Non-Fatal,Substantial,Airplane,N5384W,CIRRUS DESIGN CORP,SR22,No,1.0,Reciprocating,091,,Personal,Phillip Schoenwetter,0.0,0.0,0.0,1.0,VMC,,"The pilots improper landing flare, which resulted in a bounced landing.",25-09-2020,1.0,2013.0,1.0
73223,20130123X95250,Accident,CEN13CA139,2013-01-17,"Phillipsburg, OH",United States,394946N,0842435W,K3I7,Phillipsburg Airport,Non-Fatal,Substantial,Airplane,N5269P,PIPER,PA-24-250,No,1.0,Reciprocating,091,,Personal,MATHIAS JAMES G,0.0,0.0,0.0,2.0,VMC,,"The pilot's improper operation of the airplane controls during engine start, which resulted in a collision with a hangar.",25-09-2020,1.0,2013.0,2.0
73225,20130118X65621,Accident,WPR13LA094,2013-01-18,"Rock Springs, WY",United States,413523N,0109332W,RKS,ROCK SPRINGS-SWEETWATER COUNTY,Non-Fatal,Substantial,Airplane,N49DS,PIPER,PA-28-235,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,"The pilot's inadvertent movement of the fuel selector valve beyond its tank detent, which resulted in a total loss of engine power due to fuel starvation. Contributing to the accident was the failure of the fuel selector interlock mechanism.",25-09-2020,1.0,2013.0,1.0
73229,20130119X02605,Accident,CEN13FA137,2013-01-19,"Mangum, OK",United States,035550N,0993531W,2K4,Scott Field Airport,Fatal,Substantial,Airplane,N143E,BEECH,95-B55 (T42A),No,2.0,Reciprocating,091,,Personal,J S LEASING LLC,3.0,0.0,0.0,0.0,VMC,,The airplane's aerodynamic stall/spin at low altitude and subsequent impact with terrain for reasons that could not be determined during postaccident examinations. Contributing to the accident was the pilot's lack of currency/proficiency.,25-09-2020,1.0,2013.0,3.0
73230,20130119X10225,Accident,WPR13FA095,2013-01-19,"Boulder, UT",United States,374942N,1112440W,,,Fatal,Substantial,Airplane,N2341N,CESSNA,140,No,1.0,Reciprocating,091,,Personal,,2.0,0.0,0.0,0.0,VMC,,The pilots improper decision to maneuver at a low altitude and failure to adequately monitor the environment to maintain clearance from power lines. ,,1.0,2013.0,2.0
73232,20130120X21032,Accident,WPR13LA096,2013-01-20,"Camarillo, CA",United States,341237N,0119547W,CMA,Camarillo Airport,Non-Fatal,,Airplane,N1712,QUICKSILVER,SPORT IIS,No,1.0,Reciprocating,091,,Personal,CHICCO MIGUEL E,0.0,0.0,0.0,2.0,VMC,,The person on the grounds failure to stay clear of a spinning propeller. ,,1.0,2013.0,2.0
73235,20130122X43209,Accident,CEN13CA138,2013-01-20,"Erie, CO",United States,040036N,0105252W,KEIK,Erie Municipal Airport,Non-Fatal,Substantial,Airplane,N2323D,CESSNA,170B,No,1.0,Reciprocating,091,,Personal,,0.0,1.0,0.0,1.0,VMC,,The pilots failure to maintain control of the airplane while taking off in gusting wind conditions.,25-09-2020,1.0,2013.0,2.0
73236,20130121X03228,Accident,WPR13CA097,2013-01-21,"Tucson, AZ",United States,032831N,1111028W,RYN,Ryan Field,Non-Fatal,Substantial,Airplane,N223PE,CESSNA,140,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,"The pilots failure to maintain directional control during the landing roll and his excessive application of brakes, which resulted in a noseover.",25-09-2020,1.0,2013.0,1.0
73239,20130123X70951,Accident,CEN13LA141,2013-01-23,"McKinney, TX",United States,331040N,0963520W,KTKI,Collin Co. Regional Airport,Non-Fatal,Substantial,Airplane,N6195P,PIPER,PA-24-250,No,1.0,Reciprocating,091,,Personal,TUREK TOM T,0.0,0.0,0.0,2.0,VMC,,Collapse of the landing gear for reasons that could not be determined because visual examination did not reveal any mechanical malfunction or failure that would have prevented the gear from locking in the extended position and postaccident damage precluded functional testing.,25-09-2020,1.0,2013.0,2.0
73244,20130124X94007,Accident,CEN13FA143,2013-01-24,"Richwood, LA",United States,322725N,0092431W,KMLU,Monroe Regional Airport,Fatal,Destroyed,Airplane,N980SS,RAYTHEON AIRCRAFT COMPANY,A36,No,1.0,Reciprocating,091,,Personal,"Central Flying Service, Inc.",4.0,0.0,0.0,0.0,IMC,,The pilot's failure to maintain control of the airplane during a missed approach in instrument meteorological conditions.,25-09-2020,1.0,2013.0,4.0
73247,20130128X95910,Accident,ERA13CA120,2013-01-26,"Lake City, FL",United States,003098N,0823935W,15FL,Cannon Creek Airpark,Non-Fatal,Substantial,Airplane,N492CM,MALLORY CHRISTOPHER L,RV-8,Yes,1.0,Reciprocating,091,,Personal,MALLORY CHRISTOPHER L,0.0,0.0,0.0,2.0,VMC,,The pilots failure to maintain directional control during the landing roll.,25-09-2020,1.0,2013.0,2.0
73248,20130128X02957,Accident,ERA13LA121,2013-01-27,"Yonkers, NY",United States,405724N,0073546W,,,Non-Fatal,Substantial,Airplane,N1967E,PIPER,PA-32-260,No,1.0,Reciprocating,091,,Personal,Deniece de Preister,0.0,0.0,0.0,2.0,VMC,,A partial loss of engine power for reasons that could not be determined because examination of the engine and associated components did not reveal any mechanical malfunction or failure that would have precluded normal operation.,25-09-2020,1.0,2013.0,2.0
73249,20130128X11622,Accident,CEN13CA144,2013-01-27,"Warsaw, IN",United States,411617N,0855014W,ASW,Warsaw Municipal Airport,Non-Fatal,Substantial,Airplane,N5763H,MOONEY,M20J,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,The pilot's improper recovery from a bounced landing and failure to maintain control of the airplane during a go-around maneuver. Contributing to the accident were the pilots complacency flying the airplane and his lack of training on bounced landing recovery procedures.,25-09-2020,1.0,2013.0,2.0
73250,20130128X93359,Accident,ERA13LA119,2013-01-27,"Palmetto, FL",United States,273854N,0823035W,48X,Airport Manatee,Non-Fatal,Substantial,Airplane,N27CE,SHOEMAKER JAMES B,KR-2,Yes,1.0,Reciprocating,091,,Personal,MASSA EUGENE M,0.0,0.0,1.0,0.0,VMC,,"The total loss of engine power for undetermined reasons, which resulted in a forced landing.",25-09-2020,1.0,2013.0,1.0
73252,20130201X84219,Accident,ERA13CA123,2013-01-27,"Lancaster, PA",United States,040712N,0761723W,LNS,Lancaster Airport,Non-Fatal,Substantial,Airplane,N8385S,PIPER,PA-32-301,No,1.0,Reciprocating,091,,Personal,BELAIR FLYING CLUB INC,0.0,0.0,0.0,2.0,VMC,,The pilots failure to maintain clearance from a parked vehicle while taxiing from landing.,25-09-2020,1.0,2013.0,2.0
73263,20130202X30850,Accident,WPR13LA109,2013-02-01,"Bountiful, UT",United States,040529N,1115537W,BTF,Skypark Airport,Non-Fatal,Substantial,Airplane,N8554W,PIPER,PA-28-235,No,1.0,Reciprocating,091,,Personal,Curtis Jolley,0.0,0.0,0.0,1.0,VMC,,A total loss of engine power during initial climb for reasons that could not be determined because postaccident examination of the airframe and engine did not reveal any anomalies that would have precluded normal operation.,25-09-2020,2.0,2013.0,1.0
73267,20130206X71656,Accident,WPR13CA114,2013-02-01,"Worland, WY",United States,043570N,0107570W,KWRL,Worland Municipal Airport,Non-Fatal,Substantial,Airplane,N83454,PIPER,PA-18-150,No,1.0,Reciprocating,091,,Personal,M. Mercer Livestock Transportation LLC,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain directional control during landing.,25-09-2020,2.0,2013.0,1.0
73268,20130202X10430,Accident,WPR13LA108,2013-02-02,"Wellsville, UT",United States,414728N,0111515W,,,Non-Fatal,Substantial,Airplane,N8125T,CESSNA,175B,No,1.0,Reciprocating,091,,Personal,Lynn Goodsell,0.0,0.0,0.0,5.0,VMC,,A loss of engine power during cruise flight due to carburetor ice.,25-09-2020,2.0,2013.0,5.0
73269,20130203X23237,Accident,WPR13LA112,2013-02-02,"Camarillo, CA",United States,341250N,0119540W,CMA,Camarillo,Non-Fatal,Substantial,Airplane,N342FS,CESSNA,305A,No,1.0,Reciprocating,091,,Personal,Stanley Shaw,0.0,0.0,0.0,2.0,VMC,,A tailwheel vibration upon touchdown and the subsequent loss of directional control for reasons that could not be determined because postaccident examination revealed no mechanical malfunctions or failures that would have precluded normal operation. ,,2.0,2013.0,2.0
73271,20130203X31601,Accident,WPR13LA113,2013-02-02,"Wilcox, AZ",United States,324449N,1101419W,E95,Benson Municipal Airport,Non-Fatal,Substantial,Airplane,N1421V,CESSNA,172,No,1.0,Reciprocating,091,,Personal,Michael Owen,0.0,0.0,0.0,3.0,VMC,,The loss of engine power for reasons that could not be determined because postaccident examination did not reveal any abnormalities that would have precluded normal operation.,25-09-2020,2.0,2013.0,3.0
73273,20130307X44419,Accident,CEN13CA187,2013-02-02,"Oshkosh, WI",United States,043594N,0883324W,OSH,Oshkosh,Non-Fatal,Substantial,Airplane,N9691S,CHAMPION,7GCAA,No,1.0,Reciprocating,091,,Personal,Keith Mustain,0.0,0.0,0.0,2.0,VMC,,Fatigue cracking and failure of the left wheel strut mount resulting in collapse of the left main landing gear during taxi.,25-09-2020,2.0,2013.0,2.0
73281,20130207X23114,Accident,WPR13CA117,2013-02-06,"Sunburst, MT",United States,485312N,1115518W,K8U5,Sunburst Airport,Non-Fatal,Substantial,Airplane,N2619D,CESSNA,170B,No,1.0,Reciprocating,091,,Personal,INMAN STEVE,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to compensate for the strong, gusting wind conditions, which resulted in a loss of airplane control during takeoff.",25-09-2020,2.0,2013.0,1.0
73284,20130207X04940,Accident,WPR13FA116,2013-02-07,"Minden, NV",United States,385853N,1192934W,KMEV,Minden-Tahoe Airport,Fatal,Destroyed,Airplane,N328SP,CESSNA,172S,No,1.0,Reciprocating,091,,Personal,Flying Start Aero,1.0,0.0,0.0,0.0,VMC,,The pilots failure to maintain airplane control while maneuvering over mountainous terrain. ,,2.0,2013.0,1.0
73286,20130208X32231,Accident,ERA13LA129,2013-02-07,"Winston-Salem, NC",United States,003681N,0801319W,INT,Smith Reynolds Airport,Non-Fatal,Substantial,Airplane,N458P,BEECH,58,No,2.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,3.0,VMC,,The failure of the left main landing gear to fully extend due to improper rigging by maintenance personnel during a maintenance check.,25-09-2020,2.0,2013.0,3.0
73287,20130220X02450,Accident,CEN13LA167,2013-02-07,"Idabel, OK",United States,335433N,0945134W,4O4,MC CURTAIN COUNTY RGNL,Non-Fatal,Substantial,Airplane,N7974G,CESSNA,172L,No,1.0,Reciprocating,091,,Personal,Texarkana Flying Club,0.0,0.0,0.0,1.0,VMC,,"The student pilot's failure to maintain directional control during landing, which resulted in a runway excursion.",25-09-2020,2.0,2013.0,1.0
73290,20130208X43909,Accident,WPR13FA118,2013-02-08,"Tucson, AZ",United States,032724N,1111153W,RYN,Ryan Field,Fatal,Substantial,Airplane,N89059,CESSNA,152,No,1.0,Reciprocating,091,,Personal,Arizona Aero-Tech,1.0,0.0,0.0,0.0,VMC,,"The pilot's incapacitation due to his preexisting cardiac disease, which resulted in his degraded or complete loss of ability to control the airplane.",25-09-2020,2.0,2013.0,1.0
73291,20130211X74835,Accident,CEN13LA157,2013-02-08,"Garden City, TX",United States,313515N,1013033W,,,Non-Fatal,Substantial,Airplane,N2269U,NORTH AMERICAN-MEDORE,SNJ-4,No,1.0,Reciprocating,091,,Personal,BP Residential LLC,0.0,0.0,0.0,1.0,VMC,,The loss of engine power due to fuel starvation.,25-09-2020,2.0,2013.0,1.0
73292,20130211X83554,Accident,CEN13CA153,2013-02-08,"Herington, KS",United States,384141N,0964828W,KHRU,Herington Reginal Airport,Non-Fatal,Substantial,Airplane,N88NG,CESSNA,177RG,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,3.0,IMC,,"The pilots failure to maintain adequate airspeed during the approach, which resulted in an aerodynamic stall.",25-09-2020,2.0,2013.0,3.0
73295,20130210X64053,Accident,WPR13CA121,2013-02-09,"Sunnyside, WA",United States,461937N,1195813W,,,Non-Fatal,Substantial,Airplane,N6726J,PIPER,PA-28-140,No,1.0,Reciprocating,091,,Personal,John Gilman,0.0,2.0,0.0,0.0,VMC,,The pilots inadequate vigilance while maneuvering at low altitude and his subsequent failure to maintain clearance from power lines.,25-09-2020,2.0,2013.0,2.0
73296,20130211X25028,Accident,CEN13WA156,2013-02-09,"Charloeri, Belgium",Belgium,502733N,0042713E,EBCI,Brussels South Charleroi,Fatal,Destroyed,Airplane,N240PW,CESSNA,P210N,No,1.0,Turbo Prop,NUSN,,Personal,,5.0,0.0,0.0,0.0,,,,03-11-2020,2.0,2013.0,5.0
73297,20130214X53155,Accident,ERA13CA132,2013-02-09,"Lewisburg, TN",United States,035300N,0086480W,LUG,Ellington Field,Non-Fatal,Substantial,Airplane,N956TT,TRIAD INTERNATIONAL TECHNOLOGY,RV6A,Yes,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,The pilots improper landing flare and failure to maintain directional control during the landing.,25-09-2020,2.0,2013.0,2.0
73304,20130212X61326,Accident,WPR13LA122,2013-02-12,"Williams, CA",United States,003992N,0122133W,UKI,Ukiah,Non-Fatal,Destroyed,Airplane,N123ST,ST CLAIR,LANCAIR 360,Yes,1.0,Reciprocating,091,,Personal,,0.0,0.0,2.0,0.0,VMC,,An in-flight fire due to an electrical short circuit.,25-09-2020,2.0,2013.0,2.0
73305,20130214X92430,Accident,CEN13CA161,2013-02-12,"Jenison, MI",United States,425612N,0854820W,08C,Riverview Airport,Non-Fatal,Substantial,Airplane,N12989,CESSNA,172M,No,1.0,Reciprocating,091,,Personal,ON FILE,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain directional control while landing on an ice- and snow-covered runway in crosswind conditions.,25-09-2020,2.0,2013.0,1.0
73306,20130228X21806,Accident,CEN13WA181,2013-02-12,"Cozumel, Mexico",Mexico,,,,,Fatal,Substantial,Airplane,YS175P,AMERICAN CHAMPION,8KCAB,No,,,NUSN,,Personal,,2.0,0.0,0.0,0.0,,,,25-09-2020,2.0,2013.0,2.0
73308,20130213X31604,Accident,WPR13CA124,2013-02-13,"Ephrata, WA",United States,471818N,1193055W,EPH,Ephrata Municipal Airport,Non-Fatal,Substantial,Airplane,N2059L,BEECH,B19,No,1.0,Reciprocating,091,,Personal,BIG BEND COMMUNITY COLLEGE,0.0,0.0,0.0,2.0,VMC,,"The student pilot's failure to maintain directional control during the takeoff ground roll in crosswind conditions, and the flight instructor's delayed remedial action.",25-09-2020,2.0,2013.0,2.0
73309,20130213X43319,Accident,ERA13FA131,2013-02-13,"New Smyrna Beach, FL",United States,029246N,0805725W,EVB,New Smyrna Beach Municipal Air,Fatal,Destroyed,Airplane,N2576S,CESSNA,T337C,No,2.0,Reciprocating,091,,Personal,,1.0,0.0,0.0,0.0,VMC,,"Maintenance personnel's failure to follow procedures and published directives in calibrating the continuous flow fuel system and failure to accurately diagnose debris in the throttle assembly, resulting in a loss of power in one engine. Contributing to the accident was the pilot's failure to comply with published engine out procedures, which resulted in an off-airport landing and subsequent impact with a tree and the ground.",25-09-2020,2.0,2013.0,1.0
73310,20130220X70407,Accident,CEN13LA171,2013-02-13,"Grand Island, NE",United States,040583N,0981835W,GRI,Central Nebraska Regional,Non-Fatal,Substantial,Airplane,N32CA,PIPER,PA46,No,1.0,Turbo Prop,091,,Personal,Pilot,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain airplane control after engine start.,25-09-2020,2.0,2013.0,1.0
73312,20130213X15321,Accident,WPR13FA123,2013-02-14,"Winters, CA",United States,382948N,1215658W,,,Fatal,Substantial,Airplane,N1959N,AVIONS FAIREY,TIPSY NIPPER T-66,No,1.0,Reciprocating,091,,Personal,SHARMAN ENTERPRISES INC,1.0,0.0,0.0,0.0,VMC,,"The airplane's impact with a turkey vulture in cruise flight, which resulted in the structural failure of the right wing and the subsequent loss of control.",25-09-2020,2.0,2013.0,1.0
73314,20130215X10538,Accident,ERA13FA133,2013-02-14,"Yeehaw Junction, FL",United States,027371N,0804254W,,,Fatal,Substantial,Airplane,N104DR,CESSNA,310H,No,2.0,Reciprocating,091,,Personal,Cody C. Kit,3.0,0.0,0.0,0.0,VMC,,The noninstrument-rated pilot's improper decision to continue visual flight rules flight into instrument meteorological conditions and his subsequent spatial disorientation. Contributing to the accident was the copilot's improper evaluation of the weather conditions after receiving several weather briefings for the flight. Also contributing to the accident was the pilot-in-command's cognitive and psychomotor impairment due to recent use of an overthecounter sedating antihistamine and the pilots' personal pressure to get home.,25-09-2020,2.0,2013.0,3.0
73322,20130218X34028,Accident,CEN13LA164,2013-02-16,"Morris, IL",United States,412526N,0088257W,C09,Morris Municipal,Non-Fatal,Substantial,Airplane,N93747,BELLANCA,17-30A,No,1.0,Reciprocating,091,,Personal,Patrick R. Rhodes,0.0,0.0,0.0,3.0,VMC,,"The pilot's improper fuel management, which resulted in a loss of engine power due to fuel exhaustion.",25-09-2020,2.0,2013.0,3.0
73323,20130218X41859,Accident,WPR13LA125,2013-02-16,"Heber, CA",United States,032456N,0115317W,,,Non-Fatal,Substantial,Airplane,N716T,TEMCO,D-16A,No,2.0,Reciprocating,091,,Personal,HAMILTON GAY M,0.0,1.0,0.0,0.0,VMC,,A loss of engine power during cruise flight due to fuel exhaustion. Contributing to the accident was the pilots inadequate preflight and fuel planning. ,,2.0,2013.0,1.0
73325,20130218X12118,Accident,ERA13LA136,2013-02-17,"Poplarville, MS",United States,304944N,0089318W,,,Fatal,Substantial,Airplane,UNREG,QUICKSILVER,MX2,No,1.0,Reciprocating,091,,Personal,,1.0,0.0,0.0,0.0,VMC,,The noncertificated pilots decision to make the flight and his failure to maintain clearance from trees while maneuvering at a low altitude. ,,2.0,2013.0,1.0
